Species,latitude,longitude
Scrophularia kiriloviana,40.75,77.83
Scrophularia kiriloviana,38.76,75.19
Scrophularia kiriloviana,45.17,82.11
Scrophularia kiriloviana,44.42,81.04
Scrophularia kiriloviana,42.91,86.19
Scrophularia kiriloviana,38.74,75.04
Scrophularia kiriloviana,47.11,86.63
Scrophularia kiriloviana,45.79,83.61
Scrophularia kiriloviana,37.20,75.45
Scrophularia kiriloviana,39.80,74.80
Scrophularia kiriloviana,41.79,80.67
Scrophularia kiriloviana,41.79,80.67
Scrophularia kiriloviana,45.08,81.16
Scrophularia kiriloviana,43.25,84.30
Scrophularia kiriloviana,43.19,80.95
Scrophularia kiriloviana,43.20,81.20
Scrophularia kiriloviana,49.22,85.45
Scrophularia kiriloviana,40.57,77.41
Scrophularia kiriloviana,38.59,74.77
Scrophularia kiriloviana,45.00,81.69
Scrophularia kiriloviana,44.24,80.62
Scrophularia kiriloviana,42.74,85.77
Scrophularia kiriloviana,38.56,74.62
Scrophularia kiriloviana,46.94,86.21
Scrophularia kiriloviana,45.61,83.19
Scrophularia kiriloviana,37.03,75.03
Scrophularia kiriloviana,39.62,74.38
Scrophularia kiriloviana,41.62,80.25
Scrophularia kiriloviana,41.62,80.25
Scrophularia kiriloviana,44.90,80.74
Scrophularia kiriloviana,43.08,83.88
Scrophularia kiriloviana,43.01,80.53
Scrophularia kiriloviana,43.02,80.78
Scrophularia kiriloviana,49.04,85.03
Scrophularia kiriloviana,40.47,77.60
Scrophularia kiriloviana,38.49,74.97
Scrophularia kiriloviana,44.90,81.88
Scrophularia kiriloviana,44.14,80.81
Scrophularia kiriloviana,42.64,85.96
Scrophularia kiriloviana,38.46,74.82
Scrophularia kiriloviana,46.84,86.40
Scrophularia kiriloviana,45.51,83.38
Scrophularia kiriloviana,40.75,77.83
Scrophularia kiriloviana,38.76,75.19
Scrophularia kiriloviana,45.17,82.11
Scrophularia kiriloviana,44.57,82.08
Scrophularia kiriloviana,42.91,86.19
Scrophularia kiriloviana,47.28,86.13
Scrophularia kiriloviana,38.74,75.04
Scrophularia kiriloviana,45.79,83.61
Scrophularia kiriloviana,37.20,75.45
Scrophularia kiriloviana,39.80,74.80
Scrophularia kiriloviana,41.79,80.67
Scrophularia kiriloviana,41.79,80.69
Scrophularia kiriloviana,43.26,84.30
Scrophularia kiriloviana,43.19,80.96
Scrophularia kiriloviana,43.20,81.20
Scrophularia kiriloviana,47.11,86.63
Scrophularia kiriloviana,45.08,81.16
Scrophularia kiriloviana,44.42,81.04
